uf,soma_total_vitimas,ano,mes,vitimas_escala,crime_enum
AC,0.0,2023,1,0.0,1
AC,0.0,2023,2,0.0,1
AC,0.0,2023,3,0.0,1
AC,3.0,2023,4,0.36143794471927115,1
AC,1.0,2023,5,0.12047931490642372,1
AC,1.0,2023,6,0.12047931490642372,1
AC,2.0,2023,7,0.24095862981284744,1
AC,1.0,2023,8,0.12047931490642372,1
AC,0.0,2023,9,0.0,1
AC,1.0,2023,10,0.12047931490642372,1
AC,1.0,2023,11,0.12047931490642372,1
AC,0.0,2023,12,0.0,1
AC,18.0,2023,1,2.168627668315627,2
AC,16.0,2023,2,1.9276690385027795,2
AC,19.0,2023,3,2.2891069832220508,2
AC,16.0,2023,4,1.9276690385027795,2
AC,16.0,2023,5,1.9276690385027795,2
AC,7.0,2023,6,0.843355204344966,2
AC,24.0,2023,7,2.8915035577541692,2
AC,14.0,2023,8,1.686710408689932,2
AC,11.0,2023,9,1.3252724639706608,2
AC,12.0,2023,10,1.4457517788770846,2
AC,15.0,2023,11,1.8071897235963557,2
AC,12.0,2023,12,1.4457517788770846,2
AC,0.0,2023,1,0.0,3
AC,0.0,2023,2,0.0,3
AC,0.0,2023,3,0.0,3
AC,0.0,2023,4,0.0,3
AC,0.0,2023,5,0.0,3
AC,0.0,2023,6,0.0,3
AC,0.0,2023,7,0.0,3
AC,0.0,2023,8,0.0,3
AC,0.0,2023,9,0.0,3
AC,0.0,2023,10,0.0,3
AC,0.0,2023,11,0.0,3
AC,0.0,2023,12,0.0,3
AC,6.0,2023,1,0.7228758894385423,4
AC,4.0,2023,2,0.48191725962569487,4
AC,3.0,2023,3,0.36143794471927115,4
AC,7.0,2023,4,0.843355204344966,4
AC,7.0,2023,5,0.843355204344966,4
AC,5.0,2023,6,0.6023965745321186,4
AC,14.0,2023,7,1.686710408689932,4
AC,14.0,2023,8,1.686710408689932,4
AC,11.0,2023,9,1.3252724639706608,4
AC,5.0,2023,10,0.6023965745321186,4
AC,9.0,2023,11,1.0843138341578136,4
AC,8.0,2023,12,0.9638345192513897,4
AC,0.0,2023,1,0.0,5
AC,0.0,2023,2,0.0,5
AC,1.0,2023,3,0.12047931490642372,5
AC,1.0,2023,4,0.12047931490642372,5
AC,0.0,2023,5,0.0,5
AC,1.0,2023,6,0.12047931490642372,5
AC,6.0,2023,7,0.7228758894385423,5
AC,7.0,2023,8,0.843355204344966,5
AC,2.0,2023,9,0.24095862981284744,5
AC,0.0,2023,10,0.0,5
AC,5.0,2023,11,0.6023965745321186,5
AC,1.0,2023,12,0.12047931490642372,5
AC,1.0,2023,1,0.12047931490642372,6
AC,0.0,2023,2,0.0,6
AC,0.0,2023,3,0.0,6
AC,0.0,2023,4,0.0,6
AC,1.0,2023,5,0.12047931490642372,6
AC,1.0,2023,6,0.12047931490642372,6
