uf,soma_total_vitimas,ano,mes,vitimas_escala,crime_enum
AC,1.0,2025,1,0.11307458852157237,1
AC,0.0,2025,2,0.0,1
AC,0.0,2025,3,0.0,1
AC,1.0,2025,4,0.11307458852157237,1
AC,0.0,2025,5,0.0,1
AC,2.0,2025,6,0.22614917704314474,1
AC,1.0,2025,7,0.11307458852157237,1
AC,2.0,2025,8,0.22614917704314474,1
AC,2.0,2025,9,0.22614917704314474,1
AC,3.0,2025,10,0.3392237655647171,1
AC,1.0,2025,11,0.11307458852157237,1
AC,1.0,2025,12,0.11307458852157237,1
AC,13.0,2025,1,1.469969650780441,2
AC,9.0,2025,2,1.0176712966941512,2
AC,20.0,2025,3,2.2614917704314474,2
AC,8.0,2025,4,0.904596708172579,2
AC,18.0,2025,5,2.0353425933883025,2
AC,9.0,2025,6,1.0176712966941512,2
AC,12.0,2025,7,1.3568950622588685,2
AC,17.0,2025,8,1.9222680048667302,2
AC,17.0,2025,9,1.9222680048667302,2
AC,15.0,2025,10,1.6961188278235857,2
AC,15.0,2025,11,1.6961188278235857,2
AC,11.0,2025,12,1.243820473737296,2
AC,0.0,2025,1,0.0,3
AC,0.0,2025,2,0.0,3
AC,0.0,2025,3,0.0,3
AC,0.0,2025,4,0.0,3
AC,1.0,2025,5,0.11307458852157237,3
AC,0.0,2025,6,0.0,3
AC,0.0,2025,7,0.0,3
AC,0.0,2025,8,0.0,3
AC,0.0,2025,9,0.0,3
AC,0.0,2025,10,0.0,3
AC,0.0,2025,11,0.0,3
AC,0.0,2025,12,0.0,3
AC,7.0,2025,1,0.7915221196510066,4
AC,6.0,2025,2,0.6784475311294342,4
AC,6.0,2025,3,0.6784475311294342,4
AC,9.0,2025,4,1.0176712966941512,4
AC,10.0,2025,5,1.1307458852157237,4
AC,11.0,2025,6,1.243820473737296,4
AC,12.0,2025,7,1.3568950622588685,4
AC,13.0,2025,8,1.469969650780441,4
AC,16.0,2025,9,1.809193416345158,4
